CMDLINE C:\Users\Andreas\Anaconda3\python.exe aoristic.py
MEM 0.503906 1512224943.7277
MEM 13.925781 1512224943.8277
MEM 20.128906 1512224943.9277
MEM 25.742188 1512224944.0277
MEM 33.128906 1512224944.1277
MEM 31.632812 1512224944.2277
MEM 39.054688 1512224944.3277
MEM 39.058594 1512224944.4277
MEM 42.597656 1512224944.5278
MEM 49.070312 1512224944.6278
MEM 49.406250 1512224944.7278
MEM 50.304688 1512224944.8278
MEM 52.980469 1512224944.9278
MEM 53.570312 1512224945.0278
MEM 57.519531 1512224945.1278
MEM 62.554688 1512224945.2278
MEM 67.656250 1512224945.3278
MEM 72.000000 1512224945.4278
MEM 77.800781 1512224945.5278
MEM 82.863281 1512224945.6278
MEM 88.320312 1512224945.7278
MEM 93.312500 1512224945.8278
MEM 98.320312 1512224945.9278
MEM 101.933594 1512224946.0278
MEM 101.933594 1512224946.1278
MEM 101.933594 1512224946.2279
MEM 101.933594 1512224946.3279
MEM 101.933594 1512224946.4279
MEM 101.933594 1512224946.5279
MEM 101.933594 1512224946.6279
MEM 101.933594 1512224946.7279
MEM 101.933594 1512224946.8279
MEM 101.933594 1512224946.9279
MEM 101.933594 1512224947.0279
MEM 101.933594 1512224947.1279
MEM 101.933594 1512224947.2279
MEM 101.933594 1512224947.3279
MEM 101.933594 1512224947.4279
MEM 101.933594 1512224947.5279
MEM 101.933594 1512224947.6279
MEM 101.933594 1512224947.7279
MEM 101.933594 1512224947.8279
MEM 101.933594 1512224947.9279
MEM 101.933594 1512224948.0280
MEM 101.933594 1512224948.1280
MEM 101.933594 1512224948.2280
MEM 101.933594 1512224948.3280
MEM 101.933594 1512224948.4280
MEM 101.933594 1512224948.5280
MEM 101.933594 1512224948.6280
MEM 101.933594 1512224948.7280
MEM 101.933594 1512224948.8280
MEM 101.933594 1512224948.9280
MEM 101.933594 1512224949.0280
MEM 101.933594 1512224949.1280
MEM 101.933594 1512224949.2280
MEM 101.933594 1512224949.3280
MEM 101.933594 1512224949.4280
MEM 101.933594 1512224949.5280
MEM 101.933594 1512224949.6280
MEM 101.933594 1512224949.7281
MEM 101.933594 1512224949.8281
MEM 101.933594 1512224949.9281
MEM 101.933594 1512224950.0281
MEM 101.933594 1512224950.1281
MEM 101.933594 1512224950.2281
MEM 101.933594 1512224950.3281
MEM 101.933594 1512224950.4281
MEM 101.933594 1512224950.5281
MEM 101.933594 1512224950.6281
MEM 101.933594 1512224950.7281
MEM 101.933594 1512224950.8281
MEM 101.933594 1512224950.9281
MEM 101.933594 1512224951.0281
MEM 101.933594 1512224951.1281
MEM 101.933594 1512224951.2281
MEM 101.933594 1512224951.3281
MEM 101.933594 1512224951.4281
MEM 101.933594 1512224951.5282
MEM 101.933594 1512224951.6282
MEM 101.933594 1512224951.7282
MEM 101.933594 1512224951.8282
MEM 101.933594 1512224951.9282
MEM 101.933594 1512224952.0282
MEM 101.933594 1512224952.1282
MEM 101.933594 1512224952.2282
MEM 101.933594 1512224952.3282
MEM 101.933594 1512224952.4282
MEM 101.933594 1512224952.5282
MEM 101.933594 1512224952.6282
MEM 101.933594 1512224952.7282
MEM 101.933594 1512224952.8282
MEM 101.933594 1512224952.9282
MEM 101.933594 1512224953.0282
MEM 101.933594 1512224953.1282
MEM 101.933594 1512224953.2283
MEM 101.933594 1512224953.3283
MEM 101.933594 1512224953.4283
MEM 101.933594 1512224953.5283
MEM 101.933594 1512224953.6283
MEM 101.933594 1512224953.7283
MEM 101.933594 1512224953.8283
MEM 101.933594 1512224953.9283
MEM 101.933594 1512224954.0283
MEM 101.933594 1512224954.1283
MEM 101.933594 1512224954.2283
MEM 101.933594 1512224954.3283
MEM 101.933594 1512224954.4283
MEM 101.933594 1512224954.5283
MEM 101.933594 1512224954.6283
MEM 101.933594 1512224954.7283
MEM 101.933594 1512224954.8283
MEM 101.933594 1512224954.9283
MEM 101.933594 1512224955.0284
MEM 101.933594 1512224955.1284
MEM 101.933594 1512224955.2284
MEM 101.933594 1512224955.3284
MEM 101.933594 1512224955.4284
MEM 101.933594 1512224955.5284
MEM 101.933594 1512224955.6284
MEM 101.933594 1512224955.7284
MEM 101.933594 1512224955.8284
MEM 101.933594 1512224955.9284
MEM 101.933594 1512224956.0284
MEM 101.933594 1512224956.1284
MEM 101.933594 1512224956.2284
MEM 101.933594 1512224956.3284
MEM 101.933594 1512224956.4284
MEM 101.933594 1512224956.5284
MEM 101.933594 1512224956.6284
MEM 101.933594 1512224956.7285
MEM 101.933594 1512224956.8285
MEM 101.933594 1512224956.9285
MEM 101.933594 1512224957.0285
MEM 101.933594 1512224957.1285
MEM 101.933594 1512224957.2285
MEM 101.933594 1512224957.3285
MEM 101.933594 1512224957.4285
MEM 101.933594 1512224957.5285
MEM 101.933594 1512224957.6285
MEM 101.933594 1512224957.7285
MEM 101.933594 1512224957.8285
MEM 101.933594 1512224957.9285
MEM 101.933594 1512224958.0285
MEM 101.933594 1512224958.1285
MEM 101.933594 1512224958.2285
MEM 101.933594 1512224958.3285
MEM 101.933594 1512224958.4285
MEM 101.933594 1512224958.5286
MEM 101.933594 1512224958.6286
MEM 101.933594 1512224958.7286
MEM 101.933594 1512224958.8286
MEM 101.933594 1512224958.9286
MEM 101.933594 1512224959.0286
MEM 101.933594 1512224959.1286
MEM 101.933594 1512224959.2286
MEM 101.933594 1512224959.3286
MEM 101.933594 1512224959.4286
MEM 101.933594 1512224959.5286
MEM 101.933594 1512224959.6286
MEM 101.933594 1512224959.7286
MEM 101.933594 1512224959.8286
MEM 101.933594 1512224959.9286
MEM 101.933594 1512224960.0286
MEM 101.933594 1512224960.1286
MEM 101.933594 1512224960.2287
MEM 101.933594 1512224960.3287
MEM 101.933594 1512224960.4287
MEM 101.933594 1512224960.5287
MEM 101.933594 1512224960.6287
MEM 101.933594 1512224960.7287
MEM 101.933594 1512224960.8287
MEM 101.933594 1512224960.9287
MEM 101.933594 1512224961.0287
MEM 101.933594 1512224961.1287
MEM 101.933594 1512224961.2287
MEM 101.933594 1512224961.3287
MEM 101.933594 1512224961.4287
MEM 101.933594 1512224961.5287
MEM 101.933594 1512224961.6287
MEM 101.933594 1512224961.7287
MEM 101.933594 1512224961.8287
MEM 101.933594 1512224961.9287
MEM 101.933594 1512224962.0288
MEM 101.933594 1512224962.1288
MEM 101.933594 1512224962.2288
MEM 101.933594 1512224962.3288
MEM 101.933594 1512224962.4288
MEM 101.933594 1512224962.5288
MEM 101.933594 1512224962.6288
MEM 101.933594 1512224962.7288
MEM 101.933594 1512224962.8288
MEM 101.933594 1512224962.9288
MEM 101.933594 1512224963.0288
MEM 101.933594 1512224963.1288
MEM 101.933594 1512224963.2288
MEM 101.933594 1512224963.3288
MEM 101.933594 1512224963.4288
MEM 101.933594 1512224963.5288
MEM 101.933594 1512224963.6288
MEM 101.933594 1512224963.7289
MEM 101.933594 1512224963.8289
MEM 101.933594 1512224963.9289
MEM 101.933594 1512224964.0289
MEM 101.933594 1512224964.1289
MEM 101.933594 1512224964.2289
MEM 101.933594 1512224964.3289
MEM 101.933594 1512224964.4289
MEM 101.933594 1512224964.5289
MEM 101.933594 1512224964.6289
MEM 101.933594 1512224964.7289
MEM 101.933594 1512224964.8289
MEM 101.933594 1512224964.9289
MEM 101.933594 1512224965.0289
MEM 101.933594 1512224965.1289
MEM 101.933594 1512224965.2289
MEM 101.933594 1512224965.3289
MEM 101.933594 1512224965.4289
MEM 101.933594 1512224965.5290
MEM 101.933594 1512224965.6290
MEM 101.933594 1512224965.7290
MEM 101.933594 1512224965.8290
MEM 101.933594 1512224965.9290
MEM 101.933594 1512224966.0290
MEM 101.933594 1512224966.1290
MEM 101.933594 1512224966.2290
MEM 101.933594 1512224966.3290
MEM 101.933594 1512224966.4290
